YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueFootnoteSymbol,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,Geolocation,DataValue_Suppressed,Suppression_Reason,Latitude,Longitude,DiseaseCategory,MetricType,TimePeriodLength
2020,2020,US,United States,BRFSS,Health Status,Recent activity limitation among adults,Number,Age-adjusted Mean,2.9,,2.8,2.9,Sex,Female,,False,Not suppressed,,,Health Status,Prevalence,0
2015,2019,AR,Arkansas,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",Number,Number,9537.0,,,,Sex,Male,POINT (-92.27449074299966 34.74865012400045),False,Not suppressed,34.74865012400045,-92.27449074299966,Cancer,Incidence,4
2015,2019,CA,California,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",Number,Number,486.0,,,,Overall,Overall,POINT (-120.99999953799971 37.63864012300047),False,Not suppressed,37.63864012300047,-120.99999953799971,Cancer,Mortality,4
2015,2019,CO,Colorado,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",Number,Number,2880.0,,,,Race/Ethnicity,Hispanic,POINT (-106.13361092099967 38.843840757000464),False,Not suppressed,38.843840757000464,-106.13361092099967,Cancer,Incidence,4
2015,2019,GA,Georgia,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",Number,Number,519.0,,,,Race/Ethnicity,"White, non-Hispanic",POINT (-83.62758034599966 32.83968109300048),False,Not suppressed,32.83968109300048,-83.62758034599966,Cancer,Mortality,4
2015,2019,KS,Kansas,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",Number,Number,8102.0,,,,Sex,Male,POINT (-98.20078122699965 38.34774030000045),False,Not suppressed,38.34774030000045,-98.20078122699965,Cancer,Incidence,4
2015,2019,ME,Maine,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",Number,Number,9238.0,,,,Overall,Overall,POINT (-68.98503133599962 45.254228894000505),False,Not suppressed,45.254228894000505,-68.98503133599962,Cancer,Incidence,4
2015,2019,NJ,New Jersey,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",Number,Number,5587.0,,,,Race/Ethnicity,Hispanic,POINT (-74.27369128799967 40.13057004800049),False,Not suppressed,40.13057004800049,-74.27369128799967,Cancer,Incidence,4
2015,2019,NY,New York,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",Number,Number,2547.0,,,,Sex,Female,POINT (-75.54397042699964 42.82700103200045),False,Not suppressed,42.82700103200045,-75.54397042699964,Cancer,Mortality,4
2015,2019,OR,Oregon,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",Number,Number,548.0,,,,Overall,Overall,POINT (-120.15503132599969 44.56744942400047),False,Not suppressed,44.56744942400047,-120.15503132599969,Cancer,Mortality,4
